Provinsi;2015;2016;2017;2018
ACEH;9.93;6.34;6.17;6.34
SUMATERA UTARA;6.71;5.55;5.39;5.55
SUMATERA BARAT;6.89;5.66;5.38;5.66
RIAU;7.83;5.98;5.76;5.98
JAMBI;4.34;3.73;4.06;3.73
SUMATERA SELATAN;6.07;4.27;4.53;4.27
BENGKULU;4.91;3.35;3.26;3.35
LAMPUNG;5.14;4.04;4.03;4.04
KEP. BANGKA BELITUNG;6.29;3.61;3.58;3.61
KEP. RIAU;6.20;8.04;7.50;8.04
DKI JAKARTA;7.23;6.65;6.54;6.65
JAWA BARAT;8.72;8.23;8.04;8.23
JAWA TENGAH;4.99;4.47;4.44;4.47
DI YOGYAKARTA;4.07;3.37;3.18;3.37
JAWA TIMUR;4.47;3.91;3.82;3.91
BANTEN;9.55;8.47;8.11;8.47
BALI;1.99;1.40;1.57;1.40
NUSA TENGGARA BARAT;5.69;3.58;3.28;3.58
NUSA TENGGARA TIMUR;3.83;2.85;3.14;2.85
KALIMANTAN BARAT;5.15;4.18;4.35;4.18
KALIMANTAN TENGAH;4.54;3.91;4.04;3.91
KALIMANTAN SELATAN;4.92;4.35;4.18;4.35
KALIMANTAN TIMUR;7.50;6.41;5.94;6.41
KALIMANTAN UTARA;5.68;5.11;4.49;5.11
SULAWESI UTARA;9.03;6.61;6.01;6.61
SULAWESI TENGAH;4.10;3.37;3.11;3.37
SULAWESI SELATAN;5.95;4.94;4.62;4.94
SULAWESI TENGGARA;5.55;3.19;3.52;3.19
GORONTALO;4.65;3.70;3.76;3.70
SULAWESI BARAT;3.35;3.01;2.98;3.01
MALUKU;9.93;6.95;6.69;6.95
MALUKU UTARA;6.05;4.63;4.81;4.63
PAPUA BARAT;8.08;6.45;6.43;6.45
PAPUA;3.99;3.00;3.51;3.00
INDONESIA;6.18;5.30;5.23;5.30
